morphind	root_morphind	root_pos_morphind	affix_morphind	affix_morphind_wclass	pref_morphind	suff_morphind	verb_tagged	n	ok	remark	kbbi_form_pos	gloss	semantics
ber+datang<v>+an_VSA	datang	v	ber-_an	ber-_v_an	ber-	an	TRUE	238	TRUE		v		random event
ber+pasang<v>+an_VSA	pasang	v	ber-_an	ber-_v_an	ber-	an	TRUE	230	TRUE		v		reciprocal-personal-relationship
ber+lari<v>+an_VSA	lari	v	ber-_an	ber-_v_an	ber-	an	TRUE	221	TRUE		v		random event
ber+muncul<v>+an_VSA	muncul	v	ber-_an	ber-_v_an	ber-	an	TRUE	219	TRUE		v		random event
ber+pandang<v>+an_VSA	pandang	v	ber-_an	ber-_v_an	ber-	an	TRUE	215	TRUE		v		reciprocal
ber+damping<v>+an_VSA	damping	v	ber-_an	ber-_v_an	ber-	an	TRUE	196	TRUE		v		reciprocal-(spatial-)relationship
ber+urut<n>+an_VSA	urut	n	ber-_an	ber-_n_an	ber-	an	TRUE	187	TRUE		v		reciprocal-(spatial-)relationship
ber+urus<v>+an_VSA	urus	v	ber-_an	ber-_v_an	ber-	an	TRUE	178	TRUE		v		reciprocal-(spatial-)relationship
ber+sentuh<v>+an_VSA	sentuh	v	ber-_an	ber-_v_an	ber-	an	TRUE	172	TRUE		v		reciprocal
ber+serak<a>+an_VSA	serak	a	ber-_an	ber-_a_an	ber-	an	TRUE	172	TRUE		v		random event
ber+muat<v>+an_VSA	muat	v	ber-_an	ber-_v_an	ber-	an	TRUE	158	FALSE	"based on ""muatan""?"	v		
ber+bantu<v>+an_VSA	bantu	v	ber-_an	ber-_v_an	ber-	an	TRUE	142	FALSE	"based on ""bantuan""?"	v		
ber+tepat<a>+an_VSA	tepat	a	ber-_an	ber-_a_an	ber-	an	TRUE	141	TRUE		v		reciprocal-(spatial-)relationship
ber+halang<v>+an_VSA	halang	v	ber-_an	ber-_v_an	ber-	an	TRUE	140	FALSE	"based on ""halangan""?"	v		
ber+hambur<v>+an_VSA	hambur	v	ber-_an	ber-_v_an	ber-	an	TRUE	139	TRUE		v		random event
ber+iring<v>+an_VSA	iring	v	ber-_an	ber-_v_an	ber-	an	TRUE	128	TRUE		v		reciprocal-(spatial-)relationship
ber+pacar<n>+an_VSA	pacar	n	ber-_an	ber-_n_an	ber-	an	TRUE	125	TRUE		v		reciprocal-personal-relationship
ber+jatuh<v>+an_VSA	jatuh	v	ber-_an	ber-_v_an	ber-	an	TRUE	123	TRUE		v		random event
ber+papas<v>+an_VSA	papas	v	ber-_an	ber-_v_an	ber-	an	TRUE	120	TRUE		v		reciprocal-(spatial-)relationship
ber+pegang<v>+an_VSA	pegang	v	ber-_an	ber-_v_an	ber-	an	TRUE	119	TRUE		v		reciprocal
ber+tebar<v>+an_VSA	tebar	v	ber-_an	ber-_v_an	ber-	an	TRUE	119	TRUE		v		random event
ber+pikir<v>+an_VSA	pikir	v	ber-_an	ber-_v_an	ber-	an	TRUE	116	FALSE	"based on ""pikiran""?"	v		
ber+lain<a>+an_VSA	lain	a	ber-_an	ber-_a_an	ber-	an	TRUE	115	TRUE		v		reciprocal-(spatial-)relationship
ber+seberang<n>+an_VSA	seberang	n	ber-_an	ber-_n_an	ber-	an	TRUE	112	TRUE		v		reciprocal-(spatial-)relationship
ber+salam<n>+an_VSA	salam	n	ber-_an	ber-_n_an	ber-	an	TRUE	108	TRUE		v		reciprocal
ber+peluk<v>+an_VSA	peluk	v	ber-_an	ber-_v_an	ber-	an	TRUE	106	TRUE		v		reciprocal
ber+atur<v>+an_VSA	atur	v	ber-_an	ber-_v_an	ber-	an	TRUE	98	FALSE	"based on ""aturan""?"	v		
ber+singgung<v>+an_VSA	singgung	v	ber-_an	ber-_v_an	ber-	an	TRUE	96	TRUE		v		reciprocal-(spatial-)relationship
ber+gugur<v>+an_VSA	gugur	v	ber-_an	ber-_v_an	ber-	an	TRUE	89	TRUE		v		random event
ber+langgan<v>+an_VSA	langgan	v	ber-_an	ber-_v_an	ber-	an	TRUE	86	TRUE		v		reciprocal
ber+desak<v>+an_VSA	desak	v	ber-_an	ber-_v_an	ber-	an	TRUE	79	TRUE		v		reciprocal
ber+jauh<a>+an_VSA	jauh	a	ber-_an	ber-_a_an	ber-	an	TRUE	78	TRUE		v		reciprocal-(spatial-)relationship
ber+bareng<d>+an_VSA	bareng	d	ber-_an	ber-_d_an	ber-	an	TRUE	77	TRUE	in group	v		reciprocal-(spatial-)relationship
ber+ikat<v>+an_VSA	ikat	v	ber-_an	ber-_v_an	ber-	an	TRUE	70	TRUE		v		reciprocal
ber+gilir<v>+an_VSA	gilir	v	ber-_an	ber-_v_an	ber-	an	TRUE	64	TRUE		v		reciprocal
ber+gandeng<v>+an_VSA	gandeng	v	ber-_an	ber-_v_an	ber-	an	TRUE	63	TRUE		v		reciprocal
ber+tabrak<v>+an_VSA	tabrak	v	ber-_an	ber-_v_an	ber-	an	TRUE	61	TRUE		v		reciprocal
ber+gelantung<v>+an_VSA	gelantung	v	ber-_an	ber-_v_an	ber-	an	TRUE	60	TRUE		v		random event
ber+lumur<v>+an_VSA	lumur	v	ber-_an	ber-_v_an	ber-	an	TRUE	60	TRUE		v		random event
ber+tali<n>+an_VSA	tali	n	ber-_an	ber-_n_an	ber-	an	TRUE	59	TRUE		v		reciprocal-(spatial-)relationship
ber+bentur<v>+an_VSA	bentur	v	ber-_an	ber-_v_an	ber-	an	TRUE	58	TRUE		v		reciprocal
ber+seliwer<v>+an_VSA	seliwer	v	ber-_an	ber-_v_an	ber-	an	TRUE	58	TRUE		v		random event
ber+musuh<n>+an_VSA	musuh	n	ber-_an	ber-_n_an	ber-	an	TRUE	56	TRUE		v		reciprocal-personal-relationship
ber+kilau<n>+an_VSA	kilau	n	ber-_an	ber-_n_an	ber-	an	TRUE	55	TRUE		v		random event
ber+cucur<v>+an_VSA	cucur	v	ber-_an	ber-_v_an	ber-	an	TRUE	52	TRUE		v		random event
ber+rebut<v>+an_VSA	rebut	v	ber-_an	ber-_v_an	ber-	an	TRUE	50	TRUE		v		random event
ber+sisi<n>+an_VSA	sisi	n	ber-_an	ber-_n_an	ber-	an	TRUE	50	TRUE		v		reciprocal-(spatial-)relationship
ber+lompat<v>+an_VSA	lompat	v	ber-_an	ber-_v_an	ber-	an	TRUE	49	TRUE		v		random event
ber+cium<v>+an_VSA	cium	v	ber-_an	ber-_v_an	ber-	an	TRUE	48	TRUE		v	kiss	reciprocal
ber+kejar<v>+an_VSA	kejar	v	ber-_an	ber-_v_an	ber-	an	TRUE	46	TRUE		v		reciprocal
ber+gelimpang<v>+an_VSA	gelimpang	v	ber-_an	ber-_v_an	ber-	an	TRUE	45	TRUE		v		random event
ber+tatap<v>+an_VSA	tatap	v	ber-_an	ber-_v_an	ber-	an	TRUE	45	TRUE		v		reciprocal
ber+sahut<v>+an_VSA	sahut	v	ber-_an	ber-_v_an	ber-	an	TRUE	43	TRUE		v		reciprocal
ber+halu<n>+an_VSA	halu	n	ber-_an	ber-_n_an	ber-	an	TRUE	42	FALSE	"based on ""haluan""?"	v		
ber+tulis<v>+an_VSA	tulis	v	ber-_an	ber-_v_an	ber-	an	TRUE	39	FALSE	"either (i) typo of ""bertuliskan"" or (ii) based on ""tulisan""? (where ber- means 'to have')"	v		
ber+alir<v>+an_VSA	alir	v	ber-_an	ber-_v_an	ber-	an	TRUE	38	FALSE	"based on ""aliran""?"	v		
ber+sesuai<a>+an_VSA	sesuai	a	ber-_an	ber-_a_an	ber-	an	TRUE	38	TRUE		v		reciprocal-(spatial-)relationship
ber+gentayang<pre-cat>+an_VSA	gentayang	pre-cat	ber-_an	ber-_pre-cat_an	ber-	an	TRUE	36	TRUE		v		random event
ber+tekan<v>+an_VSA	tekan	v	ber-_an	ber-_v_an	ber-	an	TRUE	35	FALSE	"based on ""tekanan""?"	v		
ber+patok<v>+an_VSA	patok	v	ber-_an	ber-_v_an	ber-	an	TRUE	30	FALSE	"based on ""patokan""?"	v		
ber+pergi<v>+an_VSA	pergi	v	ber-_an	ber-_v_an	ber-	an	TRUE	30	TRUE		v		random event
ber+juluk<v>+an_VSA	juluk	v	ber-_an	ber-_v_an	ber-	an	TRUE	27	FALSE	"based on ""julukan""?"	v		
ber+terbang<v>+an_VSA	terbang	v	ber-_an	ber-_v_an	ber-	an	TRUE	24	TRUE		v		random event
ber+gesek<v>+an_VSA	gesek	v	ber-_an	ber-_v_an	ber-	an	TRUE	23	TRUE	desak	v		reciprocal
ber+kendara<v>+an_VSA	kendara	v	ber-_an	ber-_v_an	ber-	an	TRUE	22	FALSE	"based on ""kendaraan""?"	v		
ber+dua<c>+an_VSA	dua	c	ber-_an	ber-_c_an	ber-	an	TRUE	21	TRUE		v		reciprocal
ber+impit<v>+an_VSA	impit	v	ber-_an	ber-_v_an	ber-	an	TRUE	21	TRUE	desak	v		reciprocal
ber+jejal<v>+an_VSA	jejal	v	ber-_an	ber-_v_an	ber-	an	TRUE	21	TRUE	desak	v		reciprocal
ber+loncat<v>+an_VSA	loncat	v	ber-_an	ber-_v_an	ber-	an	TRUE	21	TRUE		v		random event
ber+rangkul<v>+an_VSA	rangkul	v	ber-_an	ber-_v_an	ber-	an	TRUE	21	TRUE		v		reciprocal
ber+tabur<v>+an_VSA	tabur	v	ber-_an	ber-_v_an	ber-	an	TRUE	18	TRUE		v		random event
ber+mekar<a>+an_VSA	mekar	a	ber-_an	ber-_a_an	ber-	an	TRUE	17	TRUE		v		random event
ber+peran<n>+an_VSA	peran	n	ber-_an	ber-_n_an	ber-	an	TRUE	16	FALSE	"based on ""peranan""?"	v		
ber+potong<v>+an_VSA	potong	v	ber-_an	ber-_v_an	ber-	an	TRUE	14	TRUE		adv		reciprocal
ber+taut<v>+an_VSA	taut	v	ber-_an	ber-_v_an	ber-	an	TRUE	14	TRUE		v		reciprocal
ber+guling<n>+an_VSA	guling	n	ber-_an	ber-_n_an	ber-	an	TRUE	13	TRUE		v		random event
ber+mesra<a>+an_VSA	mesra	a	ber-_an	ber-_a_an	ber-	an	TRUE	13	TRUE		v		reciprocal
ber+siar<v>+an_VSA	siar	v	ber-_an	ber-_v_an	ber-	an	TRUE	13	FALSE	"based on ""siaran""?"	v		
ber+silang<v>+an_VSA	silang	v	ber-_an	ber-_v_an	ber-	an	TRUE	13	TRUE		v		reciprocal-(spatial-)relationship
ber+tubruk<v>+an_VSA	tubruk	v	ber-_an	ber-_v_an	ber-	an	TRUE	13	TRUE		v		reciprocal
ber+andal<v>+an_VSA	andal	v	ber-_an	ber-_v_an	ber-	an	TRUE	12	FALSE	"it is ""berandalan"" 'thug'"	NA		
ber+dasar<n>+an_VSA	dasar	n	ber-_an	ber-_n_an	ber-	an	TRUE	12	FALSE	typo	NA		
ber+iris<n>+an_VSA	iris	n	ber-_an	ber-_n_an	ber-	an	TRUE	12	TRUE		NA		reciprocal-(spatial-)relationship
ber+jaring<v>+an_VSA	jaring	v	ber-_an	ber-_v_an	ber-	an	TRUE	12	FALSE	"based on ""jaringan""?"	NA		
ber+rombong<a>+an_VSA	rombong	a	ber-_an	ber-_a_an	ber-	an	TRUE	12	TRUE	in group	NA		reciprocal
ber+gelayut<v>+an_VSA	gelayut	v	ber-_an	ber-_v_an	ber-	an	TRUE	11	TRUE		NA		random event
ber+himpit<v>+an_VSA	himpit	v	ber-_an	ber-_v_an	ber-	an	TRUE	11	TRUE	"In KBBI, it is ""berimpitan""; desak"	v		reciprocal
ber+tumbang<v>+an_VSA	tumbang	v	ber-_an	ber-_v_an	ber-	an	TRUE	11	TRUE		NA		random event
ber+tunang<v>+an_VSA	tunang	v	ber-_an	ber-_v_an	ber-	an	TRUE	11	TRUE		v		reciprocal-personal-relationship
ber+getar<v>+an_VSA	getar	v	ber-_an	ber-_v_an	ber-	an	TRUE	10	TRUE		NA		random event
ber+golong<v>+an_VSA	golong	v	ber-_an	ber-_v_an	ber-	an	TRUE	10	FALSE	"based on ""golongan""?"	v		
ber+pencar<v>+an_VSA	pencar	v	ber-_an	ber-_v_an	ber-	an	TRUE	9	TRUE		v		random event
ber+senggol<v>+an_VSA	senggol	v	ber-_an	ber-_v_an	ber-	an	TRUE	9	TRUE		v		reciprocal
ber+tegang<a>+an_VSA	tegang	a	ber-_an	ber-_a_an	ber-	an	TRUE	9	FALSE	"based on ""tegangan""?"	NA		
ber+turut<v>+an_VSA	turut	v	ber-_an	ber-_v_an	ber-	an	TRUE	9	TRUE		v		reciprocal
ber+kibar<v>+an_VSA	kibar	v	ber-_an	ber-_v_an	ber-	an	TRUE	8	TRUE		v		random event
ber+lesat<pre-cat>+an_VSA	lesat	pre-cat	ber-_an	ber-_pre-cat_an	ber-	an	TRUE	8	TRUE		NA		random event
ber+pangkal<n>+an_VSA	pangkal	n	ber-_an	ber-_n_an	ber-	an	TRUE	8	FALSE	"based on ""pangkalan""?"	v		
ber+jabat<v>+an_VSA	jabat	v	ber-_an	ber-_v_an	ber-	an	TRUE	7	TRUE		v		reciprocal
ber+lebar<a>+an_VSA	lebar	a	ber-_an	ber-_a_an	ber-	an	TRUE	7	FALSE	"based on ""lebaran""?"	v		
ber+patung<n>+an_VSA	patung	n	ber-_an	ber-_n_an	ber-	an	TRUE	7	TRUE		v		reciprocal
ber+tumbuk<v>+an_VSA	tumbuk	v	ber-_an	ber-_v_an	ber-	an	TRUE	7	TRUE		v		reciprocal
ber+wirausaha<n>+an_VSA	wirausaha	n	ber-_an	ber-_n_an	ber-	an	TRUE	7	TRUE		NA		reciprocal
ber+harap<v>+an_VSA	harap	v	ber-_an	ber-_v_an	ber-	an	TRUE	6	FALSE	"based on ""harapan""?"	v		
ber+pamer<v>+an_VSA	pamer	v	ber-_an	ber-_v_an	ber-	an	TRUE	6	FALSE	"based on ""pameran""?"	v		
ber+pelanting<n>+an_VSA	pelanting	n	ber-_an	ber-_n_an	ber-	an	TRUE	6	TRUE		NA		random event
ber+timbul<a>+an_VSA	timbul	v	ber-_an	ber-_v_an	ber-	an	TRUE	6	TRUE		NA		random event
ber+geletak<d>+an_VSA	geletak	d	ber-_an	ber-_d_an	ber-	an	TRUE	5	TRUE		v		random event
ber+kembang<v>+an_VSA	kembang	v	ber-_an	ber-_v_an	ber-	an	TRUE	5	TRUE		NA		random event
ber+kilat<a>+an_VSA	kilat	n	ber-_an	ber-_n_an	ber-	an	TRUE	5	TRUE		v		random event
ber+patah<a>+an_VSA	patah	a	ber-_an	ber-_a_an	ber-	an	TRUE	5	TRUE		NA		random event
ber+pendar<n>+an_VSA	pendar	n	ber-_an	ber-_n_an	ber-	an	TRUE	5	TRUE		v		random event
ber+setel<n>+an_VSA	setel	n	ber-_an	ber-_n_an	ber-	an	TRUE	5	FALSE	"based on ""setelan""?"	v		wear
ber+tetangga<n>+an_VSA	tetangga	n	ber-_an	ber-_n_an	ber-	an	TRUE	5	TRUE		v		reciprocal-personal-relationship
ber+ukir<v>+an_VSA	ukir	v	ber-_an	ber-_v_an	ber-	an	TRUE	5	FALSE	"based on ""ukiran""?"	NA		have
ber+acu<v>+an_VSA	acu	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	FALSE	"based on ""acuan""?"	NA		have
ber+akhir<n>+an_VSA	akhir	n	ber-_an	ber-_n_an	ber-	an	TRUE	4	FALSE	"based on ""akhiran""?"	v		have
ber+anggar<v>+an_VSA	anggar	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	FALSE	"based on ""anggaran""?"	v		have
ber+baik<a>+an_VSA	baik	a	ber-_an	ber-_a_an	ber-	an	TRUE	4	TRUE		v		reciprocal
ber+balas<v>+an_VSA	balas	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		NA		reciprocal
ber+batu<n>+an_VSA	batu	n	ber-_an	ber-_n_an	ber-	an	TRUE	4	TRUE	full	v		random event
ber+kitar<v>+an_VSA	kitar	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		NA		random event
ber+leleh<v>+an_VSA	leleh	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		v		random event
ber+mirip<a>+an_VSA	mirip	a	ber-_an	ber-_a_an	ber-	an	TRUE	4	TRUE	have	v		reciprocal
ber+salah<a>+an_VSA	salah	a	ber-_an	ber-_a_an	ber-	an	TRUE	4	TRUE		v		reciprocal-personal-relationship
ber+sambung<v>+an_VSA	sambung	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		v		reciprocal-(spatial-)relationship
ber+sebrang<v>+an_VSA	sebrang	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		v		reciprocal-(spatial-)relationship
ber+tampal<n>+an_VSA	tampal	n	ber-_an	ber-_n_an	ber-	an	TRUE	4	TRUE		NA		reciprocal-(spatial-)relationship
ber+tindih<v>+an_VSA	tindih	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE	desak	v		reciprocal
ber+tonjol<v>+an_VSA	tonjol	v	ber-_an	ber-_v_an	ber-	an	TRUE	4	TRUE		NA		random event
ber+arak<n>+an_VSA	arak	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE	in group	v		random event
ber+gelimang<a>+an_VSA	gelimang	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+gemeletuk<v>+an_VSA	gemeletuk	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+genggam<v>+an_VSA	genggam	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		NA		reciprocal
ber+gerombol<n>+an_VSA	gerombol	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE	in group	NA		random event
ber+keluyur<pre-cat>+an_VSA	keluyur	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+landas<n>+an_VSA	landas	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	FALSE	"based on ""landasan""?"	v		use
ber+lanjut<v>+an_VSA	lanjut	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		reciprocal
ber+lekat<a>+an_VSA	lekat	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+limpah<v>+an_VSA	limpah	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+lintas<n>+an_VSA	lintas	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+mi<n>+an_VSA	mi	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	FALSE	typo			
ber+paut<v>+an_VSA	paut	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+renang<v>+an_VSA	renang	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+samping<n>+an_VSA	samping	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+sasar<v>+an_VSA	sasar	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE	have	v		random event
ber+saut<n>+an_VSA	saut	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		v		reciprocal
ber+tantang<v>+an_VSA	tantang	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	FALSE	"typo for ""bertentangan"""			
ber+terus<a>+an_VSA	terus	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		v		random event
ber+angkut<v>+an_VSA	angkut	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	FALSE	"typo for ""bersangkutan"""			
ber+bantal<n>+an_VSA	bantal	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	FALSE	"based on ""bantalan""?"			wear
ber+bentrok<v>+an_VSA	bentrok	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		v		reciprocal
ber+debar<n>+an_VSA	debar	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+diam<a>+an_VSA	diam	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-personal-relationship
ber+fikir<v>+an_VSA	fikir	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	FALSE	"based on ""fikiran""?"			
ber+g<f>+an_VSA	g	f	ber-_an	ber-_f_an	ber-	an	TRUE	2	FALSE	typo			
ber+gaduh<a>+an_VSA	gaduh	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+gantung<v>+an_VSA	gantung	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE	plurality of the subject	v		random event
ber+gelar<v>+an_VSA	gelar	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+geliat<v>+an_VSA	geliat	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+jajar<n>+an_VSA	jajar	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-(spatial-)relationship
ber+juntai<a>+an_VSA	juntai	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		a		random event
ber+kuat<a>+an_VSA	kuat	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	FALSE	context shows its use in the sense of 'to have'			have
ber+laku<n>+an_VSA	laku	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	FALSE	context shows its two uses are irrelevant			
ber+lepas<v>+an_VSA	lepas	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+mental<n>+an_VSA	mental	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+pelesir<pre-cat>+an_VSA	pelesir	pre-cat	ber-_an	ber-_pre-cat_an	ber-	an	TRUE	2	FALSE	"based on ""pelesiran""?"			
ber+rubah<n>+an_VSA	rubah	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	FALSE	"typo for ""perubahan"""			
ber+s<f>+an_VSA	s	f	ber-_an	ber-_f_an	ber-	an	TRUE	2	FALSE				
ber+salip<v>+an_VSA	salip	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal
ber+sesak<a>+an_VSA	sesak	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE	"KBBI has ""bersesak-sesak""; desak"	NA		reciprocal
ber+simpang<n>+an_VSA	simpang	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		v		reciprocal-(spatial-)relationship
ber+sisih<v>+an_VSA	sisih	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal
ber+tangis<n>+an_VSA	tangis	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		v		random event
ber+tempel<v>+an_VSA	tempel	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+tumbuh<v>+an_VSA	tumbuh	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE	plurality of the subject	v		random event
ber+tumpah<v>+an_VSA	tumpah	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+tumpang<v>+an_VSA	tumpang	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-(spatial-)relationship
ber+akrab<a>+an_VSA	akrab	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-personal-relationship
ber+ampun<n>+an_VSA	ampun	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		reciprocal
ber+anekaragam<n>+an_VSA	aneka ragam	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+asal<n>+an_VSA	asal	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"typo for ""beralasan"""	NA		
ber+awal<n>+an_VSA	awal	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""awalan""?"			
ber+bahas<v>+an_VSA	bahas	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""berbahasa"""	NA		
ber+banding<v>+an_VSA	banding	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		reciprocal
ber+bangun<v>+an_VSA	bangun	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""bangunan""?"			
ber+bantah<v>+an_VSA	bantah	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		reciprocal
ber+basah<a>+an_VSA	basah	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+belanja<v>+an_VSA	belanja	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""perbelanjaan"""	NA		
ber+bising<a>+an_VSA	bising	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		
ber+bondong<a>+an_VSA	bondong	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE	in group	NA		random event
ber+cengkram<v>+an_VSA	cengkram	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
